Unnamed: 0,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,instalment_no_int,out_term,out_revenue
7,38656067,41439872,26500,26500,26200,36,19.99,701.95,E,E3,< 1 year,RENT,78000,Verified,2021-01-01,Charged Off,n,debt_consolidation,13.71,0,2001-03-01,0,10,37,0.0,0.0,4182.27,4134.92,1197.35,2984.92,0.0,0.0,0.0,2021-08-01,701.95,2022-01-01,0,1,INDIVIDUAL,736.1111111111111,34.37341132075472,24128.41607660378
56,38654836,41438603,11200,11200,11200,60,16.49,275.29,D,D3,3 years,RENT,94000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,26.95,0,1997-04-01,1,16,36,0.0,0.0,1906.51,1906.51,885.52,1020.99,0.0,0.0,0.0,2021-08-01,275.29,2022-01-01,0,1,INDIVIDUAL,186.66666666666666,55.256142857142855,15211.463567142857
83,38645937,41429742,1325,1325,1325,36,17.14,47.34,D,D4,< 1 year,MORTGAGE,28000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,38.66,0,2001-11-01,0,18,28,0.0,0.0,282.78,282.78,176.69,106.09,0.0,0.0,0.0,2021-07-01,47.34,2022-01-01,0,1,INDIVIDUAL,36.80555555555556,31.199366037735846,1476.9779882264152
90,38645713,41429516,8150,8150,8150,36,19.99,302.85,E,E3,10+ years,RENT,34000,Verified,2021-01-01,Charged Off,n,debt_consolidation,23.4,0,1990-04-01,0,8,13,0.0,0.0,1808.05,1808.05,1045.2,762.85,0.0,0.0,0.0,2021-07-01,302.85,2021-12-01,0,1,INDIVIDUAL,226.38888888888889,31.38316564417178,9504.391715337424
117,38644867,41428644,7000,7000,7000,36,12.99,235.83,C,C2,2 years,RENT,70000,Verified,2021-01-01,Charged Off,n,debt_consolidation,13.12,1,2009-05-01,2,9,19,0.0,0.0,1654.14,1654.14,321.84,139.72,0.0,1192.58,214.66,2021-03-01,235.83,2021-08-01,0,1,INDIVIDUAL,194.44444444444446,34.34482285714285,8099.539574399999
138,38644180,41427896,14000,12000,14000,36,7.49,435.43,A,A4,< 1 year,RENT,140000,Verified,2021-01-01,Charged Off,n,debt_consolidation,16.6,9,1989-08-01,0,10,28,0.0,0.0,1294.64,1294.64,1056.35,238.29,0.0,0.0,0.0,2021-04-01,435.43,2022-01-01,0,1,INDIVIDUAL,333.3333333333333,32.83095,14295.580558500002
149,38635990,41419794,35000,12000,35000,36,14.31,820.03,C,C4,10+ years,MORTGAGE,140000,Verified,2021-01-01,Charged Off,n,debt_consolidation,15.55,0,2002-05-01,0,12,22,0.0,0.0,4113.33,4113.33,2061.87,2010.46,41.0,0.0,0.0,2021-07-01,861.03,2021-12-01,0,1,INDIVIDUAL,333.3333333333333,29.814390000000003,24448.694231700003
190,38634659,41418418,16000,16000,16000,60,12.99,363.97,C,C2,1 year,RENT,95000,Verified,2021-01-01,Charged Off,n,home_improvement,13.13,1,2001-02-01,1,14,31,0.0,0.0,1432.79,1432.79,775.56,657.23,0.0,0.0,0.0,2021-05-01,363.97,2022-01-01,0,1,INDIVIDUAL,266.6666666666667,57.09165,20779.6478505
209,38626372,41410175,3000,3000,3000,36,15.59,104.87,D,D1,8 years,RENT,25000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,34.28,0,1996-10-01,0,9,17,0.0,0.0,521.75,521.75,338.15,183.6,0.0,0.0,0.0,2021-06-01,104.87,2021-12-01,0,1,INDIVIDUAL,83.33333333333333,31.9422,3349.778514
314,38615516,41399301,11200,11200,11200,60,20.99,302.94,E,E4,5 years,RENT,35000,Verified,2021-01-01,Charged Off,n,credit_card,11.8,0,2011-09-01,1,8,8,0.0,0.0,2884.14,2884.14,326.75,555.95,0.0,2001.44,360.26,2021-04-01,302.94,2021-09-01,0,1,INDIVIDUAL,186.66666666666666,58.24955357142858,17646.119758928573
336,38614969,41398737,3825,3825,3825,36,17.14,136.64,D,D4,4 years,RENT,58000,Not Verified,2021-01-01,Charged Off,n,other,14.92,0,2001-07-01,1,9,24,0.0,0.0,949.2,949.2,599.24,349.96,0.0,0.0,0.0,2021-08-01,136.64,2022-01-01,0,1,INDIVIDUAL,106.25,30.360094117647062,4148.4032602352945
362,38606529,41390334,9650,9650,9650,36,16.49,341.61,D,D3,2 years,RENT,36000,Not Verified,2021-01-01,Charged Off,n,debt_consolidation,17.93,0,2003-05-01,2,5,11,0.0,0.0,2382.43,2382.43,1524.73,857.7,0.0,0.0,0.0,2021-08-01,341.61,2022-01-01,0,1,INDIVIDUAL,268.05555555555554,30.311888082901557,10354.844088000002
395,38605667,41389451,7650,7650,7650,36,13.16,278.65,E,E1,3 years,RENT,50000,Verified,2021-01-01,Charged Off,n,debt_consolidation,17.83,0,2006-09-01,2,16,22,0.0,0.0,1664.02,1664.02,1000.71,663.31,0.0,0.0,0.0,2021-07-01,278.65,2022-01-01,0,1,INDIVIDUAL,212.5,31.290776470588234,8719.174863529412
431,38604389,41388114,13975,13975,13975,60,22.99,393.89,F,F1,10+ years,MORTGAGE,66000,Verified,2021-01-01,Charged Off,n,debt_consolidation,29.0,0,1993-11-01,1,18,37,0.0,0.0,1539.86,1539.86,519.3,1020.56,0.0,0.0,0.0,2021-05-01,393.89,2022-01-01,0,1,INDIVIDUAL,232.91666666666666,57.77044722719142,22755.20145831843
